Date,Expiry Date,Call Last,Call Bid,Call Ask,Put Last,Put Bid,Put Ask,Strike Price,Underlying Price
 2023-01-03, 2023-01-06,79.35,75.2,75.35,0.01,0.0,0.01,50.0,125.01
 2023-01-03, 2023-01-06,73.6,70.2,70.35,0.01,0.0,0.01,55.0,125.01
 2023-01-03, 2023-01-06,68.6,65.15,65.3,0.01,0.0,0.01,60.0,125.01
 2023-01-03, 2023-01-06,65.0,60.15,60.45,0.01,0.0,0.01,65.0,125.01
 2023-01-03, 2023-01-06,59.99,55.05,55.4,0.01,0.0,0.01,70.0,125.01
 2023-01-03, 2023-01-06,52.65,50.05,50.35,0.01,0.0,0.01,75.0,125.01
 2023-01-03, 2023-01-06,0.0,45.1,45.4,0.01,0.0,0.01,80.0,125.01
 2023-01-03, 2023-01-06,0.0,40.1,40.4,0.01,0.0,0.01,85.0,125.01
 2023-01-03, 2023-01-06,38.9,35.15,35.45,0.01,0.0,0.01,90.0,125.01
 2023-01-03, 2023-01-06,39.85,30.15,30.5,0.01,0.0,0.01,95.0,125.01
 2023-01-03, 2023-01-06,24.55,25.15,25.45,0.01,0.0,0.01,100.0,125.01
 2023-01-03, 2023-01-06,19.95,20.1,20.35,0.01,0.01,0.02,105.0,125.01
 2023-01-03, 2023-01-06,14.67,15.1,15.4,0.03,0.03,0.04,110.0,125.01
 2023-01-03, 2023-01-06,13.35,14.2,14.35,0.05,0.05,0.06,111.0,125.01
 2023-01-03, 2023-01-06,12.85,13.3,13.45,0.07,0.07,0.08,112.0,125.01
 2023-01-03, 2023-01-06,11.75,12.25,12.5,0.09,0.09,0.1,113.0,125.01
 2023-01-03, 2023-01-06,11.05,11.25,11.5,0.13,0.12,0.13,114.0,125.01
 2023-01-03, 2023-01-06,10.15,10.3,10.5,0.16,0.16,0.17,115.0,125.01
 2023-01-03, 2023-01-06,9.45,9.45,9.65,0.23,0.23,0.24,116.0,125.01
 2023-01-03, 2023-01-06,8.36,8.45,8.65,0.29,0.3,0.31,117.0,125.01
 2023-01-03, 2023-01-06,7.5,7.55,7.75,0.4,0.4,0.41,118.0,125.01
 2023-01-03, 2023-01-06,6.63,6.7,6.9,0.52,0.53,0.54,119.0,125.01
 2023-01-03, 2023-01-06,5.94,5.85,6.0,0.7,0.7,0.71,120.0,125.01
 2023-01-03, 2023-01-06,5.19,5.1,5.15,0.88,0.89,0.9,121.0,125.01
 2023-01-03, 2023-01-06,4.39,4.35,4.4,1.17,1.16,1.18,122.0,125.01
 2023-01-03, 2023-01-06,3.75,3.65,3.75,1.47,1.46,1.48,123.0,125.01
 2023-01-03, 2023-01-06,3.12,3.0,3.1,1.83,1.84,1.86,124.0,125.01
 2023-01-03, 2023-01-06,2.5,2.48,2.51,2.29,2.28,2.3,125.0,125.01
 2023-01-03, 2023-01-06,2.05,2.01,2.03,2.69,2.77,2.79,126.0,125.01
 2023-01-03, 2023-01-06,1.55,1.53,1.56,3.32,3.3,3.4,127.0,125.01
 2023-01-03, 2023-01-06,1.18,1.17,1.18,3.9,3.95,4.0,128.0,125.01
 2023-01-03, 2023-01-06,0.92,0.89,0.9,4.6,4.6,4.65,129.0,125.01
 2023-01-03, 2023-01-06,0.63,0.63,0.64,5.33,5.35,5.4,130.0,125.01
 2023-01-03, 2023-01-06,0.46,0.45,0.46,6.15,6.05,6.3,131.0,125.01
 2023-01-03, 2023-01-06,0.34,0.32,0.33,7.15,6.95,7.1,132.0,125.01
 2023-01-03, 2023-01-06,0.24,0.24,0.25,8.16,7.85,8.1,133.0,125.01
 2023-01-03, 2023-01-06,0.17,0.16,0.17,9.2,8.8,8.95,134.0,125.01
 2023-01-03, 2023-01-06,0.13,0.12,0.13,10.28,9.75,9.95,135.0,125.01
 2023-01-03, 2023-01-06,0.1,0.09,0.1,10.95,10.75,10.95,136.0,125.01
 2023-01-03, 2023-01-06,0.07,0.06,0.07,12.1,11.7,11.9,137.0,125.01
 2023-01-03, 2023-01-06,0.05,0.05,0.06,13.6,12.7,12.9,138.0,125.01
 2023-01-03, 2023-01-06,0.03,0.03,0.05,14.45,13.65,13.85,139.0,125.01
 2023-01-03, 2023-01-06,0.04,0.03,0.04,15.15,14.7,15.0,140.0,125.01
 2023-01-03, 2023-01-06,0.02,0.02,0.03,16.45,15.75,15.95,141.0,125.01
 2023-01-03, 2023-01-06,0.02,0.02,0.03,17.4,16.65,16.95,142.0,125.01
 2023-01-03, 2023-01-06,0.02,0.01,0.03,18.15,17.65,18.0,143.0,125.01
 2023-01-03, 2023-01-06,0.03,0.01,0.03,19.3,18.65,18.95,144.0,125.01
 2023-01-03, 2023-01-06,0.02,0.01,0.02,20.3,19.65,19.85,145.0,125.01
 2023-01-03, 2023-01-06,0.01,0.0,0.02,21.15,20.7,20.95,146.0,125.01
 2023-01-03, 2023-01-06,0.01,0.0,0.01,22.25,21.75,22.0,147.0,125.01
 2023-01-03, 2023-01-06,0.01,0.0,0.01,23.1,22.65,22.9,148.0,125.01
 2023-01-03, 2023-01-06,0.01,0.0,0.01,19.5,23.65,23.85,149.0,125.01
 2023-01-03, 2023-01-06,0.01,0.0,0.01,25.25,24.65,24.9,150.0,125.01
 2023-01-03, 2023-01-06,0.01,0.0,0.01,20.21,27.1,27.4,152.5,125.01
 2023-01-03, 2023-01-06,0.01,0.0,0.01,30.25,29.6,29.9,155.0,125.01
 2023-01-03, 2023-01-06,0.01,0.0,0.01,26.14,32.2,32.5,157.5,125.01
 2023-01-03, 2023-01-06,0.01,0.0,0.01,28.64,34.6,34.9,160.0,125.01
 2023-01-03, 2023-01-06,0.01,0.0,0.01,16.7,37.15,37.5,162.5,125.01
 2023-01-03, 2023-01-06,0.01,0.0,0.01,35.5,39.65,40.0,165.0,125.01
 2023-01-03, 2023-01-06,0.02,0.0,0.01,35.97,42.2,42.5,167.5,125.01
 2023-01-03, 2023-01-06,0.01,0.0,0.01,22.17,44.65,45.0,170.0,125.01
 2023-01-03, 2023-01-06,0.01,0.0,0.01,0.0,47.15,47.4,172.5,125.01
 2023-01-03, 2023-01-06,0.01,0.0,0.01,33.67,49.65,50.0,175.0,125.01
 2023-01-03, 2023-01-06,0.02,0.0,0.01,31.43,52.1,52.4,177.5,125.01
 2023-01-03, 2023-01-06,0.01,0.0,0.01,33.9,54.6,54.9,180.0,125.01
 2023-01-03, 2023-01-06,0.01,0.0,0.01,56.45,59.6,59.9,185.0,125.01
 2023-01-03, 2023-01-06,0.01,0.0,0.01,0.0,64.65,64.9,190.0,125.01
 2023-01-03, 2023-01-06,0.01,0.0,0.01,66.8,69.65,70.0,195.0,125.01
