Date,Expiry Date,Call Last,Call Bid,Call Ask,Put Last,Put Bid,Put Ask,Strike Price,Underlying Price
 2023-01-03, 2023-01-06,76.9,78.15,78.35,0.02,0.0,0.01,65.0,143.15
 2023-01-03, 2023-01-06,92.25,73.15,73.3,0.04,0.0,0.01,70.0,143.15
 2023-01-03, 2023-01-06,69.26,68.1,68.3,0.01,0.0,0.01,75.0,143.15
 2023-01-03, 2023-01-06,64.21,61.2,64.4,0.01,0.0,0.01,80.0,143.15
 2023-01-03, 2023-01-06,55.5,57.15,59.2,0.02,0.0,0.01,85.0,143.15
 2023-01-03, 2023-01-06,0.0,52.2,54.1,0.01,0.0,0.01,90.0,143.15
 2023-01-03, 2023-01-06,0.0,46.35,49.3,0.02,0.0,0.01,95.0,143.15
 2023-01-03, 2023-01-06,45.0,41.7,44.3,0.01,0.0,0.01,100.0,143.15
 2023-01-03, 2023-01-06,41.18,36.9,39.45,0.02,0.0,0.01,105.0,143.15
 2023-01-03, 2023-01-06,31.27,32.2,34.2,0.01,0.0,0.01,110.0,143.15
 2023-01-03, 2023-01-06,33.4,31.1,33.35,0.01,0.0,0.01,111.0,143.15
 2023-01-03, 2023-01-06,0.0,29.45,32.3,0.03,0.0,0.01,112.0,143.15
 2023-01-03, 2023-01-06,0.0,29.0,31.1,0.01,0.0,0.01,113.0,143.15
 2023-01-03, 2023-01-06,0.0,27.75,30.2,0.01,0.0,0.01,114.0,143.15
 2023-01-03, 2023-01-06,31.02,27.2,29.4,0.02,0.01,0.02,115.0,143.15
 2023-01-03, 2023-01-06,0.0,26.75,28.3,0.02,0.0,0.02,116.0,143.15
 2023-01-03, 2023-01-06,0.0,23.0,27.6,0.03,0.0,0.02,117.0,143.15
 2023-01-03, 2023-01-06,0.0,24.35,26.45,0.02,0.01,0.02,118.0,143.15
 2023-01-03, 2023-01-06,0.0,23.95,24.65,0.03,0.02,0.03,119.0,143.15
 2023-01-03, 2023-01-06,23.6,22.85,23.6,0.03,0.02,0.03,120.0,143.15
 2023-01-03, 2023-01-06,0.0,21.95,22.8,0.03,0.02,0.04,121.0,143.15
 2023-01-03, 2023-01-06,20.0,21.05,21.55,0.03,0.03,0.04,122.0,143.15
 2023-01-03, 2023-01-06,0.0,20.0,21.3,0.05,0.04,0.05,123.0,143.15
 2023-01-03, 2023-01-06,0.0,16.4,20.45,0.07,0.05,0.07,124.0,143.15
